Province,Y,X1,X2,X3,X4,X5,X6,X7,X8,X9,Lon,Lat
Provinsi01,14.75,9.44,70.18,6.83,0.291,77.48,89.7,99.69,6.17,64.89,95.3167,5.55
Provinsi02,8.33,9.71,69.61,5.96,0.326,82.3,92.13,98.7,6.16,74.44,98.6667,3.5833
Provinsi03,6.04,9.18,69.9,4.31,0.292,69.27,85.23,98.82,6.28,73.12,100.3667,-0.95
Provinsi04,6.84,9.22,71.95,5.82,0.323,84.06,90.07,95.2,4.37,77.63,101.45,0.5333
Provinsi05,7.7,8.68,71.5,6.56,0.335,79.54,79.19,98.39,4.59,72.33,103.6167,-1.6
Provinsi06,11.95,8.37,70.32,4.7,0.33,78.62,86.35,96.55,4.63,69.12,104.75,-2.9833
Provinsi07,14.34,8.91,69.69,6.06,0.315,79.58,73.07,99.21,3.59,70.57,102.2667,-3.8
Provinsi08,11.44,8.18,70.99,7.33,0.313,83.65,81.6,98.66,4.52,72,105.258,-5.425
Provinsi09,4.61,8.11,70.98,6.03,0.255,91.63,80.96,99.53,4.77,75.7,106.1,-2.1167
Provinsi10,6.03,10.37,70.5,3.96,0.325,87.74,91.82,97.96,8.23,91.14,104.4667,0.9167
Provinsi11,4.61,11.31,73.32,1.56,0.412,92.79,97.93,99.73,7.18,92.36,106.8167,-6.2
Provinsi12,7.98,8.78,73.52,6.62,0.412,74.02,93.04,99.77,8.31,79.42,107.6,-6.9167
Provinsi13,10.98,7.93,74.57,6.61,0.366,84.37,93.32,99.96,5.57,76.95,110.4167,-6.9667
Provinsi14,11.49,9.75,75.08,7.48,0.459,96.21,96.5,99.95,4.06,86.98,110.3667,-7.8
Provinsi15,10.49,8.03,71.74,6.2,0.365,81.13,95.05,99.59,5.49,73.63,112.75,-7.25
Provinsi16,6.24,9.13,70.39,5.34,0.377,85.12,92.71,99.56,8.09,79.01,106.15,-6.1167
Provinsi17,4.53,9.39,72.6,2.75,0.362,95.94,98.42,99.92,4.8,80.77,115.2167,-8.65
Provinsi18,13.82,7.61,67.07,9.98,0.374,83.12,96.5,99.68,2.89,64.98,116.1167,-8.5833
Provinsi19,20.23,7.7,67.47,7.22,0.34,73.7,86.76,85.58,3.54,57.78,123.5833,-10.1667
Provinsi20,6.81,7.59,71.02,6.44,0.311,77.41,80.43,89.99,5.11,70.39,109.3333,-0.0167
Provinsi21,5.22,8.65,70.04,5.18,0.309,74.33,77.01,85.36,4.26,73.94,113.9167,-2.2
Provinsi22,4.61,8.46,69.13,5.4,0.309,82.55,76.18,98.78,4.74,76.5,114.5833,-3.3167
Provinsi23,6.44,9.92,74.62,5.34,0.317,90.33,87.14,95.56,5.71,87.61,117.15,-0.5
Provinsi24,6.86,9.27,72.67,8.9,0.27,82.22,89.96,94.16,4.33,84.8,117.3667,2.8333
Provinsi25,7.34,9.68,72.08,4.93,0.359,84.05,94.15,99.22,6.61,72.77,124.8333,1.4833
Provinsi26,12.3,8.89,68.93,7.93,0.305,75.01,86.74,95.26,3,63.71,119.8667,-0.9
Provinsi27,8.66,8.63,70.97,7.15,0.365,92.24,91.96,97.36,4.51,73.16,119.4333,-5.15
Provinsi28,11.27,9.25,71.37,10.21,0.366,87.07,94.64,97.02,3.36,71.84,122.5833,-3.9667
Provinsi29,15.51,8.02,68.51,8.89,0.423,79.82,96.16,98.43,2.58,67.02,123.0667,0.5333
Provinsi30,11.02,8.08,65.63,8.5,0.371,78.88,78.98,92.85,2.34,64.92,118.8833,-2.6667
Provinsi31,16.23,10.19,66.45,4.11,0.306,76.47,92.1,93.15,6.88,65.58,128.1667,-3.7
Provinsi32,6.37,9.24,68.79,5.19,0.309,79.39,88.1,90.98,3.98,59.45,127.5667,0.7333
Provinsi33,21.43,7.84,66.46,4.14,0.384,73.52,81.57,83.49,5.37,66.05,134.0833,-0.8667
Provinsi34,26.8,7.02,66.23,2.16,0.393,40.34,65.39,43.04,2.83,29.82,140.7167,-2.5333
