"Scenario","N","P","Rho","Model","Mean_RMSE","SD_RMSE","QRMSE_90","ERisk","TopOne"
"S1",35,9,0.2,"OLS",1.78335189635448,0.15843242993944,2.02780336812242,0.282897878876753,0.202
"S1",35,9,0.2,"Ridge",1.76734406703147,0.145371744082058,1.95770261301621,0.266890049553751,0.134
"S1",35,9,0.2,"LASSO",1.74455015471715,0.159761759929929,1.95630767934829,0.244096137239427,0.442
"S1",35,9,0.2,"ENet",1.74951476793148,0.155433989127687,1.94165301646455,0.249060750453756,0.222
"S1",35,9,0.2,"BART",2.21826012646384,0.16495015935784,2.43188576837584,0.717806108986117,0
"S1",35,9,0.2,"RF",2.367407504689,0.130667845966106,2.53868367309155,0.866953487211272,0
"S1",35,9,0.2,"XGB",2.32956911297175,0.165601702631956,2.54924236777725,0.82911509549403,0
"S1",75,9,0.2,"OLS",1.60760714469212,0.0512363178262064,1.67910948964373,0.107752912059741,0.24
"S1",75,9,0.2,"Ridge",1.60752354749335,0.0507014261394036,1.67354401321696,0.107669314860966,0.074
"S1",75,9,0.2,"LASSO",1.59584510646897,0.0507253747372333,1.66502748583042,0.0959908738365876,0.476
"S1",75,9,0.2,"ENet",1.59785540972944,0.051263521184332,1.67069440558069,0.0980011770970618,0.21
"S1",75,9,0.2,"BART",1.97481155011784,0.0961387975613353,2.10362420799492,0.474957317485464,0
"S1",75,9,0.2,"RF",2.13491173533461,0.0876312846898914,2.24749392705122,0.635057502702227,0
"S1",75,9,0.2,"XGB",2.03786161225003,0.084950040558251,2.14720465879164,0.538007379617651,0
"S1",150,9,0.2,"OLS",1.5531242948545,0.0267143241129714,1.58421210762701,0.0532199764830614,0.212
"S1",150,9,0.2,"Ridge",1.55932753432654,0.0285233996240474,1.59368253373165,0.0594232159551037,0.064
"S1",150,9,0.2,"LASSO",1.54721762820767,0.0267845289159703,1.57837548844534,0.0473133098362309,0.522
